date,wholesale_rate,local_utility_rate_egd,local_utility_rate_usouth
2021-01-01,11.74,14.75,13.422
2021-02-01,18.82,14.75,13.422
2021-03-01,11.47,14.75,13.422
2021-04-01,11.62,15.029,13.709
2021-05-01,12.30,15.029,13.709
2021-06-01,13.87,15.029,13.709
2021-07-01,16.50,14.429,13.227
2021-08-01,17.92,14.429,13.227
2021-09-01,22.08,14.429,13.227
2021-10-01,23.91,17.444,17.148
2021-11-01,22.80,17.444,17.148
2021-12-01,17.84,17.444,17.148
2022-01-01,18.96,18.97,18.053
2022-02-01,20.95,18.97,18.053
2022-03-01,21.89,18.97,18.053
2022-04-01,29.78,21.472,20.152
2022-05-01,36.98,21.472,20.152
2022-06-01,34.80,21.472,20.152
2022-07-01,32.37,30.805,31.375
2022-08-01,39.50,30.805,31.375
2022-09-01,33.94,30.805,31.375
2022-10-01,25.47,32.865,36.091
2022-11-01,25.24,32.865,36.091
2022-12-01,26.53,32.865,36.091
2023-01-01,16.02,28.123,32.382
2023-02-01,12.20,28.123,32.382
2023-03-01,12.37,28.123,32.382
2023-04-01,10.18,19.564,22.596
2023-05-01,8.30,19.564,22.596
2023-06-01,10.07,19.564,22.596
2023-07-01,10.97,20.044,22.776
2023-08-01,11.29,20.044,22.776
2023-09-01,11.30,20.044,22.776
2023-10-01,11.16,21.245,22.394
2023-11-01,12.14,21.245,22.394
2023-12-01,10.96,21.245,22.394
2024-01-01,16.69,18.529,19.251
2024-02-01,8.80,18.529,19.251
2024-03-01,8.01,18.529,19.251
2024-04-01,7.53,12.426,11.205
2024-05-01,8.30,12.426,11.205
2024-06-01,9.29,12.426,11.205
2024-07-01,8.10,13.713,13.019
2024-08-01,8.12,13.713,13.019
2024-09-01,9.40,13.713,13.019
2024-10-01,9.66,12.442,12.351
2024-11-01,9.88,12.442,12.351
2024-12-01,14.93,12.442,12.351